@relation pollen-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 numeric
@attribute 42 numeric
@attribute 43 numeric
@attribute 44 numeric
@attribute 45 numeric
@attribute 46 numeric
@attribute 47 {1,2,3,4,5,6,7,8,9,}

@data
132,131,73.677,89.095,73.595,89.09,133.04,119.85,11908,120.1,0.95138,434.16,0.65516,0.43404,0.75527,33,32.75,66,65.5,129,131,0.22103,0.85806,0.30209,0.91095,3.0895,3.2934,4.0482,3.6895,3.9668,4.7696,7.8556e+05,4.4423e+05,1.05e+06,4.4368e+05,1.0303e+06,9281,7606,2303,0,0,8,13,25,0,0,6
129,130,73.786,86.228,73.751,86.055,131.67,117.87,11648,118.52,0.94712,423.07,0.65784,0.44577,0.77454,32.25,32.5,64.5,65,127,129,0.10662,0.86635,0.48012,0.94669,3.3052,3.3377,4.1809,3.9103,3.9811,4.9513,7.789e+05,4.281e+05,1.0225e+06,4.2747e+05,9.9558e+05,9362,7925,5456,82,0,24,10,5,6,0,6
138,134,71.832,71.064,71.774,71.09,138.05,132.48,14738,134.91,0.96994,457.34,0.77304,0.28103,0.85885,34.5,33.5,69,67,134,138,0.011429,0.93185,0.82664,0.99429,2.0125,3.0256,5.1298,1.819,1.9013,4.34,7.3672e+05,4.2417e+05,9.9933e+05,4.2375e+05,9.8547e+05,3405,0,0,0,0,5,0,0,0,0,7
130,134,80.766,68.942,80.8,69.105,128.88,125,13173,126.75,0.95787,454.91,0.72434,0.24344,0.76622,32.5,33.5,65,67,131,130,0.08658,0.82443,0.42987,0.95671,1.743,2.6501,4.4614,2.4967,2.7512,4.6363,9.4185e+05,5.1608e+05,1.1923e+06,5.1518e+05,1.1447e+06,61,1,0,0,0,13,1,0,0,0,7
131,140,72.281,77.74,72.101,77.467,141.4,127.71,14387,134.32,0.98485,444.48,0.77257,0.42931,0.90124,32.75,35,65.5,70,140,131,0.032828,0.88415,0.68662,0.98359,2.0099,2.9789,5.1969,2.0736,2.2419,4.986,6.9981e+05,4.0656e+05,9.3041e+05,4.0611e+05,9.109e+05,3411,87,0,0,0,9,2,0,0,0,7
122,132,73.621,74.434,73.501,74.394,129.7,117.07,12547,123.03,0.94756,483.93,0.73826,0.43044,0.63796,30.5,33,61,66,131,121,0.032258,0.48438,0.9078,0.98387,1.8376,2.7434,4.1429,3.1066,3.5335,4.5309,9.07e+05,5.0374e+05,1.166e+06,5.0288e+05,1.1202e+06,166,0,0,0,0,7,0,0,0,0,7
129,126,75.417,75.755,75.415,75.748,127.64,125.41,12783,125.6,0.96918,410.09,0.76221,0.1858,0.92576,32.25,31.5,64.5,63,123,129,0.042614,0.91776,0.56717,0.97869,3.4327,3.4518,4.0256,3.2983,3.5177,3.833,6.575e+05,3.7435e+05,8.5534e+05,3.7376e+05,8.3115e+05,9816,1641,604,0,0,25,7,3,0,0,8
134,123,75.627,79.294,75.627,79.294,128.08,121.95,12714,123.67,0.94486,438.35,0.72886,0.30588,0.78563,33.5,30.75,67,61.5,119,134,0.0064338,0.58682,0.9781,0.99678,3.0935,3.2314,3.7474,3.7229,4.1523,4.23,7.8054e+05,4.4816e+05,1.0305e+06,4.4756e+05,1.0036e+06,2566,107,0,0,0,178,9,0,0,0,8
120,125,75.977,81.422,75.977,81.422,126.46,114.65,11696,119.42,0.95768,395.29,0.74673,0.42189,0.90081,30,31.25,60,62.5,122,120,0.15833,0.62444,0.53853,0.92083,3.4203,3.5404,3.7257,5.1495,5.4136,5.3947,6.7635e+05,3.6502e+05,8.4848e+05,3.6422e+05,8.1284e+05,8581,1186,71,0,0,44,79,20,0,0,8
118,137,83.709,79.639,83.677,79.644,135.48,115.61,12429,125.12,0.98922,395.68,0.76055,0.52132,0.98685,29.5,34.25,59,68.5,137,118,0.0038095,0.33142,0.99051,0.9981,3.5385,3.5449,4.3481,3.7,3.821,4.6111,7.6674e+05,3.9629e+05,9.309e+05,3.9517e+05,8.8011e+05,6743,40,0,0,0,3,2,0,0,0,8
105,126,81.049,75.536,81.049,75.536,123.11,103.38,10122,112.75,0.98647,360.14,0.75472,0.54295,0.9674,26.25,31.5,52.5,63,126,105,0.32051,0.29595,0.44642,0.85684,2.7377,2.4291,3.5446,4.5455,3.7852,6.2101,6.7215e+05,3.3105e+05,7.9613e+05,3.2983e+05,7.4479e+05,8881,1495,117,1,0,1,165,61,1,0,8
113,133,75.994,86.798,75.985,86.8,127.8,103.63,10470,108.38,0.88109,402.18,0.61381,0.58525,0.7167,28.25,33.25,56.5,66.5,125,112,0.20378,0.88275,0.53659,0.94807,3.462,3.7662,3.1625,5.9893,6.6218,4.784,7.6048e+05,3.8557e+05,9.4815e+05,3.8461e+05,9.0592e+05,8951,8542,6840,89,0,11,27,33,6,0,9
113,133,75.994,86.798,75.985,86.8,127.8,103.63,10470,108.38,0.88109,402.18,0.61381,0.58525,0.7167,28.25,33.25,56.5,66.5,125,112,0.20378,0.88275,0.53659,0.94807,3.462,3.7662,3.1625,5.9893,6.6218,4.784,7.6048e+05,3.8557e+05,9.4815e+05,3.8461e+05,9.0592e+05,8951,8542,6840,89,0,11,27,33,6,0,9
113,133,75.994,86.798,75.985,86.8,127.8,103.63,10470,108.38,0.88109,402.18,0.61381,0.58525,0.7167,28.25,33.25,56.5,66.5,125,112,0.20378,0.88275,0.53659,0.94807,3.462,3.7662,3.1625,5.9893,6.6218,4.784,7.6048e+05,3.8557e+05,9.4815e+05,3.8461e+05,9.0592e+05,8951,8542,6840,89,0,11,27,33,6,0,9
113,133,75.994,86.798,75.985,86.8,127.8,103.63,10470,108.38,0.88109,402.18,0.61381,0.58525,0.7167,28.25,33.25,56.5,66.5,125,112,0.20378,0.88275,0.53659,0.94807,3.462,3.7662,3.1625,5.9893,6.6218,4.784,7.6048e+05,3.8557e+05,9.4815e+05,3.8461e+05,9.0592e+05,8951,8542,6840,89,0,11,27,33,6,0,9
121,123,78.217,87.568,78.09,87.418,122.75,113.14,10500,113.56,0.96457,385.05,0.68051,0.38788,0.85841,30.25,30.75,60.5,61.5,119,121,0.11042,0.81298,0.68075,0.9787,3.7074,4.0125,3.4455,5.7892,6.238,4.4444,6.7698e+05,3.701e+05,8.6097e+05,3.6932e+05,8.2917e+05,9682,9243,7979,511,3,17,12,26,10,1,9
